School Code,School Name,School Type,Low Grade,High Grade,"Total 
Enrollment",frpm,Foster,Tribal Foster Youth,Homeless,"Migrant
Program",Direct Certification,unduplicated_frpm,"English 
Learner 
(EL)","CALPADS Unduplicated 
Pupil Count
(UPC)","CALPADS Fall 1 
Certification Status 
(Y/N)"
6041545,Sanchez Elementary,Elementary Schools (Public),K,5,272,171,0,0,33,3,146,221,155,244,Y
6041289,Serra (Junipero) Elementary,Elementary Schools (Public),K,5,283,152,2,0,10,1,132,192,150,232,Y
6041560,Sheridan Elementary,Elementary Schools (Public),K,5,196,118,1,0,7,0,99,148,66,162,Y
6041578,Sherman Elementary,Elementary Schools (Public),K,5,291,93,3,0,7,1,78,111,63,130,Y
6040851,Sloat (Commodore) Elementary,Elementary Schools (Public),K,5,364,148,0,0,3,0,97,164,91,189,Y
6041594,Spring Valley Elementary,Elementary Schools (Public),K,5,234,121,0,0,18,1,116,160,132,194,Y
6041529,Stevenson (Robert Louis) Elementary,Elementary Schools (Public),K,5,442,166,0,0,2,0,117,177,106,212,Y
117465,Stockton (Commodore) Children Center,Preschool,P,P,22,16,0,0,0,0,14,21,0,21,Y
6041610,Sunnyside Elementary,Elementary Schools (Public),K,5,366,89,1,0,4,0,93,121,39,134,Y
6113997,Sunset Elementary,Elementary Schools (Public),K,5,402,122,0,0,0,0,89,135,61,154,Y
6041644,Sutro Elementary,Elementary Schools (Public),K,5,254,128,0,0,4,0,98,149,90,170,Y
6040943,Taylor (Edward R.) Elementary,Elementary Schools (Public),K,5,564,372,0,0,18,0,325,447,313,498,Y
6115901,Tenderloin Community,Elementary Schools (Public),K,5,282,163,5,0,28,0,172,209,145,253,Y
6040935,Thomas Edison Charter Academy,Elementary Schools (Public),K,8,574,403,2,0,48,18,211,409,241,442,Y
117523,Tule Elk Park Children Center,Preschool,P,P,73,6,0,0,0,0,13,14,0,14,Y
6041685,Ulloa Elementary,Elementary Schools (Public),K,5,520,271,1,0,5,0,188,298,156,335,Y
6041701,Visitacion Valley Elementary,Elementary Schools (Public),K,5,239,154,1,0,10,0,152,189,77,204,Y
6059919,Visitacion Valley Middle,Intermediate/Middle Schools (Public),6,8,333,226,2,0,40,0,182,269,140,293,Y
3830205,Wallenberg (Raoul) Traditional High,High Schools (Public),9,12,522,207,10,0,27,1,191,265,81,300,Y
3839081,Washington (George) High,High Schools (Public),9,12,"2,068",982,6,0,87,2,695,"1,072",211,"1,115",Y
6040893,Webster (Daniel) Elementary,Elementary Schools (Public),K,5,354,82,1,0,3,0,83,108,77,143,Y
3830031,Wells (Ida B.) High,Continuation High Schools,9,12,198,129,3,0,32,0,113,153,39,163,Y
6041727,West Portal Elementary,Elementary Schools (Public),K,5,588,166,4,0,3,0,133,190,151,251,Y
6041131,Yick Wo Elementary,Elementary Schools (Public),K,5,205,73,0,0,8,0,60,92,33,98,Y
6113245,Yu (Alice Fong) Elementary,Elementary Schools (Public),K,8,594,197,0,0,0,0,147,217,56,236,Y
